ENCSENTS	DECSENTS
how long has she had the room ?	oh , it must be two weeks . yes , the rent's due tomorrow .
does she sleep here ? ever ?	no ... she only comes to sit . two or three times a week . and I never ask questions , you know . as long as they're well behaved . I must say that I've wondered --
when she comes down , don't say that I've been here .	oh , but she hasn't been here today . Scottie whirls back on her .
I saw her come in five minutes. ago .	oh , no ! she hasn't been here at all ! I would have seen her , you know . I've been right here all the time , putting olive oil on my rubber plant leaves !
and there ! there you see ? her key is on the rack !	would you please go and look ?
her car is gone .	what car ?
why am I here ? what happened ?	you ... ... fell into the Bay .
you don't remember .	no ...
do you remember where you were ?	oh , of course I remember that ! but then I must have had a dizzy spell , and fainted !
where were you ?	at ...
... Old Port Point ! out at the Presidio ! of course I remember ! I often go there !	why ?
because I love it so . it's beautiful there . especially at sunset . ah ... thank you for the fire .	where had you been before ?
when ?	this afternoon .
oh ... wandering about .	before ? where ? where had you been ?
please drink your coffee .	I will . you're terribly direct in your questions .
I'm sorry . I didn't mean to be rude .	you're not . merely direct . what were you doing there ? at Old Fort Point ?
wandering about .	you like it , too .
the Palace of the Legion of honor . the Art Gallery .	oh , that's a lovely spot , isn't it ? I've never been inside . but it looks so lovely , driving past .
lucky for me you were wandering about . thank you again . I've been terrible bother to you .	no .
when you ... There were pins in my hair ...	oh ! yes ! here !
you shouldn't have brought me here , you know .	I ... didn't know where you lived .
you could have looked in my car . oh , but you didn't know my car , did you ?	yes , I knew which one it was . it's out there , now . but I didn't think you'd want to be brought home that way .
my name is John Ferguson .	that's a good , strong name . do your friends call you John ? or Jack .
John . old friends . acquaintances call me Scottie .	I shall call you Mr. Ferguson .
no , I wouldn't like that . and after what happened today I should think you could call me Scottie . or even John .	I prefer John . there , that's done . and what do you do , John ?
wander about .	that's a good occupation . and live here ... alone ?
one shouldn't live alone .	some people prefer it .
will you tell me something ? has this ever happened to you before ?	what ?
... falling ... into San Francisco Bay ?	no , never before . I've fallen into lakes , out of rowboats , when I was a little girl . and I fell into a river , once , trying to leap from one stone to another . but I've never fallen into San Francisco Bay . have you ? ever before ?
oh ! yes . hello .	good morning . I worried about you , last night . you shouldn't have run like that .
I ... suddenly felt such a fool .	I wanted to drive you home . are you all right ?
oh , yes . fine . no after effects . but as I remember now , that water was cold , wasn't it ? what a terrible thing to do ... and you were so kind ... It's a formal thank-you letter . and a great big apology .	you've nothing to apologize for .
oh , yes ! the whole thing must have been so embarrassing for you !	not at all , I enjoyed --
-- talking to you ...	I enjoyed talking to you .
would you like some coffee ?	no ! no , thank you !
I couldn't mail it ; I didn't know your address . but I had a landmark . I remembered Coit Tower and it led me straight to you .	the first time I've been grateful for Coit Tower .
I hope we will , too .	what ?
meet again , sometime .	we have .
I don't know .	shopping ?
no .	well ... anywhere in particular ?
no , I Just thought I'd wander .	ah . that's what I was going to do .
oh , yes , I forgot : it's your occupation , isn't it ?	don't you think it's sort of a waste for the two of us to ...
wander separately ? ah , but only one is a Wanderer . two , together , are always going somewhere .	no ... no , I don't think that's necessarily true .
do you know where you're going ?	of course not ! I'm a Wanderer ! I'd like to go somewhere I've never been !
how can you be sure ?	if I've been there ? that's silly ! either you've been to a place or you haven't .
how old ?	oh ... some , two thousand years , or more .
what are you thinking ?	of all the people who have been born ... and have died ... while the trees went on living .
their true name is Sequoia Sempervirens : always green , ever- living .	I don't like them .
why ?	knowing I have to die ...
do you hear anything ?	only silence . it's always like this .
and no birds sing .	no birds live here .
no .	would you like a drink of water ?
where are you now ?	here with you .
where ?	the tall trees ...
have you been here before ?	yes ...
long ago ...	where ?
no ! ... No !	tell me what it is . where do you go ? what takes you away ?
no , don't ask me !	when you jumped in the bay , you didn't know where you were . you guessed but you didn't know .
I didn't jump , I fell ! you told me I fell !	why did you jump ?
what was it inside that told you to jump ?	no , I can't tell you !
what ? !	no ! please ! please , please , please , please , don't ask me !
take me away from here ?	home ?
but the small scenes , the fragments in the mirror : you remember them .	vaguely ...
what do you remember ?	a room ... there is a room , and I sit there alone ... always alone ...
no ... it's in shadow .	what else ?
a grave ...	where ?
I don't know . an open grave . I stand by the gravestone looking down into it . and it's my grave .	how do you know ?
I know .	there's a name on the gravestone .
no . it's new and clean , and waiting .	what else ?
this part is dream , I think . there is a tower and a bell and ... a garden below ... but it seems to be in Spain ... a village in Spain . and then it clicks off , and is gone .	a portrait ? do you ever see a portrait ?
